entity_type,original_term,frequency,suggested_canonical,confidence,method,canonical_id,notes
condition,irritable bowel syndrome (IBS),146,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
intervention,probiotics,55,probiotics,1.0,existing_mapping,2,Already mapped in database
condition,Irritable Bowel Syndrome (IBS),51,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,IBS,28,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
intervention,placebo,17,placebo,1.0,existing_mapping,5,Already mapped in database
intervention,low FODMAP diet,16,low FODMAP diet,1.0,existing_mapping,4,Already mapped in database
condition,small intestinal bacterial overgrowth (SIBO),16,small intestinal bacterial overgrowth,1.0,existing_mapping,7,Already mapped in database
condition,type 2 diabetes,16,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
condition,coronary heart disease,14,coronary heart disease,1.0,existing_mapping,9,Already mapped in database
condition,SIBO,13,small intestinal bacterial overgrowth,1.0,existing_mapping,7,Already mapped in database
condition,coronary artery disease,12,coronary heart disease,1.0,existing_mapping,9,Already mapped in database
condition,irritable bowel syndrome,11,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,coronary heart disease (CHD),9,coronary heart disease,1.0,existing_mapping,9,Already mapped in database
condition,migraine,8,migraine,1.0,existing_mapping,10,Already mapped in database
condition,migraine headache,8,migraine,1.0,existing_mapping,10,Already mapped in database
condition,Irritable bowel syndrome,7,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,Arrhythmogenic right ventricular cardiomyopathy (ARVC),6,arrhythmogenic right ventricular cardiomyopathy,1.0,existing_mapping,11,Already mapped in database
condition,type 2 diabetes mellitus (T2DM),6,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
intervention,fecal microbiota transplantation (FMT),5,fecal microbiota transplantation,1.0,existing_mapping,6,Already mapped in database
condition,arrhythmogenic right ventricular cardiomyopathy (ARVC),5,arrhythmogenic right ventricular cardiomyopathy,1.0,existing_mapping,11,Already mapped in database
intervention,FODMAP diet,4,low FODMAP diet,1.0,existing_mapping,4,Already mapped in database
condition,type 2 diabetes mellitus,4,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
intervention,Faecal microbiota transplantation (FMT),3,fecal microbiota transplantation,1.0,existing_mapping,6,Already mapped in database
intervention,Placebo,3,placebo,1.0,existing_mapping,5,Already mapped in database
intervention,low-FODMAP diet,3,low FODMAP diet,1.0,existing_mapping,4,Already mapped in database
intervention,Probiotics,2,probiotics,1.0,existing_mapping,2,Already mapped in database
intervention,fecal microbiota transplantation,2,fecal microbiota transplantation,1.0,existing_mapping,6,Already mapped in database
condition,Type 2 diabetes,1,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
condition,Irritable Bowel Syndrome,3,irritable bowel syndrome,0.95,unknown_safe_match,3,Safe match via unknown_safe_match
intervention,Fecal Microbiota Transplantation (FMT),2,fecal microbiota transplantation,0.95,unknown_safe_match,6,Safe match via unknown_safe_match
condition,Irritable bowel syndrome (IBS),2,irritable bowel syndrome,0.95,unknown_safe_match,3,Safe match via unknown_safe_match
intervention,Fecal microbiota transplantation (FMT),1,fecal microbiota transplantation,0.95,unknown_safe_match,6,Safe match via unknown_safe_match
condition,IBS (Irritable Bowel Syndrome),1,irritable bowel syndrome,0.95,unknown_safe_match,3,Safe match via unknown_safe_match
condition,Irritable Bowel Syndrome (IBS-D and IBS-M),1,irritable bowel syndrome,0.95,unknown_safe_match,3,Safe match via unknown_safe_match
condition,rheumatoid arthritis,28,rheumatoid arthritis,0.0,needs_llm_verification,,Medical term requires LLM verification for safe mapping
