entity_type,original_term,frequency,suggested_canonical,confidence,method,canonical_id,notes
condition,irritable bowel syndrome (IBS),146,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,Irritable Bowel Syndrome (IBS),51,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,IBS,28,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,small intestinal bacterial overgrowth (SIBO),16,small intestinal bacterial overgrowth,1.0,existing_mapping,7,Already mapped in database
condition,type 2 diabetes,16,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
condition,coronary heart disease,14,coronary heart disease,1.0,existing_mapping,9,Already mapped in database
condition,SIBO,13,small intestinal bacterial overgrowth,1.0,existing_mapping,7,Already mapped in database
condition,coronary artery disease,12,coronary heart disease,1.0,existing_mapping,9,Already mapped in database
condition,irritable bowel syndrome,11,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,coronary heart disease (CHD),9,coronary heart disease,1.0,existing_mapping,9,Already mapped in database
condition,migraine,8,migraine,1.0,existing_mapping,10,Already mapped in database
condition,migraine headache,8,migraine,1.0,existing_mapping,10,Already mapped in database
condition,Irritable bowel syndrome,7,irritable bowel syndrome,1.0,existing_mapping,3,Already mapped in database
condition,Arrhythmogenic right ventricular cardiomyopathy (ARVC),6,arrhythmogenic right ventricular cardiomyopathy,1.0,existing_mapping,11,Already mapped in database
condition,type 2 diabetes mellitus (T2DM),6,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
condition,arrhythmogenic right ventricular cardiomyopathy (ARVC),5,arrhythmogenic right ventricular cardiomyopathy,1.0,existing_mapping,11,Already mapped in database
condition,type 2 diabetes mellitus,4,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
condition,Type 2 diabetes,1,type 2 diabetes mellitus,1.0,existing_mapping,8,Already mapped in database
condition,Irritable Bowel Syndrome,3,irritable bowel syndrome,0.95,exact_normalized,3,Exact match after normalization
condition,Irritable bowel syndrome (IBS),2,irritable bowel syndrome,0.95,exact_normalized,3,Exact match after normalization
condition,IBS (Irritable Bowel Syndrome),1,irritable bowel syndrome,0.95,exact_normalized,3,Exact match after normalization
condition,Irritable Bowel Syndrome (IBS-D and IBS-M),1,irritable bowel syndrome,0.95,exact_normalized,3,Exact match after normalization
condition,rheumatoid arthritis,28,rheumatoid arthritis,0.0,no_match,,No suitable canonical mapping found
condition,diarrhea-predominant irritable bowel syndrome (IBS-D),19,diarrhea-predominant irritable bowel syndrome (IBS-D),0.0,no_match,,No suitable canonical mapping found
condition,knee osteoarthritis,18,knee osteoarthritis,0.0,no_match,,No suitable canonical mapping found
condition,IBS-D,12,IBS-D,0.0,no_match,,No suitable canonical mapping found
condition,gout,9,gout,0.0,no_match,,No suitable canonical mapping found
condition,constipation-predominant irritable bowel syndrome (IBS-C),8,constipation-predominant irritable bowel syndrome (IBS-C),0.0,no_match,,No suitable canonical mapping found
condition,depression,8,depression,0.0,no_match,,No suitable canonical mapping found
condition,aortic stenosis (AS),6,aortic stenosis (AS),0.0,no_match,,No suitable canonical mapping found
condition,constipation,6,constipation,0.0,no_match,,No suitable canonical mapping found
condition,inflammatory and infective diseases,6,inflammatory and infective diseases,0.0,no_match,,No suitable canonical mapping found
condition,irritable bowel syndrome - diarrhea (IBS-D),6,irritable bowel syndrome - diarrhea (IBS-D),0.0,no_match,,No suitable canonical mapping found
condition,low anterior resection syndrome (LARS),6,low anterior resection syndrome (LARS),0.0,no_match,,No suitable canonical mapping found
condition,Irritable Bowel Syndrome with Constipation (IBS-C),5,Irritable Bowel Syndrome with Constipation (IBS-C),0.0,no_match,,No suitable canonical mapping found
condition,irritable bowel syndrome with constipation (IBS-C),5,irritable bowel syndrome with constipation (IBS-C),0.0,no_match,,No suitable canonical mapping found
condition,postpartum depression,5,postpartum depression,0.0,no_match,,No suitable canonical mapping found
condition,PASC,4,PASC,0.0,no_match,,No suitable canonical mapping found
condition,Post-acute Sequelae of SARS-CoV-2 infection (PASC),4,Post-acute Sequelae of SARS-CoV-2 infection (PASC),0.0,no_match,,No suitable canonical mapping found
condition,bipolar disorder,4,bipolar disorder,0.0,no_match,,No suitable canonical mapping found
condition,cardiac function,4,cardiac function,0.0,no_match,,No suitable canonical mapping found
condition,cardiovascular disease,4,cardiovascular disease,0.0,no_match,,No suitable canonical mapping found
condition,constipation-predominant irritable bowel syndrome (IBS),4,constipation-predominant irritable bowel syndrome (IBS),0.0,no_match,,No suitable canonical mapping found
