entity_type,original_term,frequency,suggested_canonical,confidence,method,canonical_id,notes
intervention,probiotics,55,probiotics,1.0,existing_mapping,2,Already mapped in database
intervention,placebo,17,placebo,1.0,existing_mapping,5,Already mapped in database
intervention,low FODMAP diet,16,low FODMAP diet,1.0,existing_mapping,4,Already mapped in database
intervention,fecal microbiota transplantation (FMT),5,fecal microbiota transplantation,1.0,existing_mapping,6,Already mapped in database
intervention,FODMAP diet,4,low FODMAP diet,1.0,existing_mapping,4,Already mapped in database
intervention,Faecal microbiota transplantation (FMT),3,fecal microbiota transplantation,1.0,existing_mapping,6,Already mapped in database
intervention,Placebo,3,placebo,1.0,existing_mapping,5,Already mapped in database
intervention,low-FODMAP diet,3,low FODMAP diet,1.0,existing_mapping,4,Already mapped in database
intervention,Probiotics,2,probiotics,1.0,existing_mapping,2,Already mapped in database
intervention,fecal microbiota transplantation,2,fecal microbiota transplantation,1.0,existing_mapping,6,Already mapped in database
intervention,Fecal Microbiota Transplantation (FMT),2,fecal microbiota transplantation,0.95,exact_normalized,6,Exact match after normalization
intervention,Fecal microbiota transplantation (FMT),1,fecal microbiota transplantation,0.95,exact_normalized,6,Exact match after normalization
intervention,prebiotics,8,probiotics,0.9,similarity_0.9,2,"String similarity: 0.900, matched 'probiotics'"
intervention,osteopathic treatment,15,osteopathic treatment,0.0,no_match,,No suitable canonical mapping found
intervention,rifaximin,11,rifaximin,0.0,no_match,,No suitable canonical mapping found
intervention,acupuncture,10,acupuncture,0.0,no_match,,No suitable canonical mapping found
intervention,antibiotics,9,antibiotics,0.0,no_match,,No suitable canonical mapping found
intervention,synbiotics,9,synbiotics,0.0,no_match,,No suitable canonical mapping found
intervention,flecainide,7,flecainide,0.0,no_match,,No suitable canonical mapping found
intervention,methotrexate,5,methotrexate,0.0,no_match,,No suitable canonical mapping found
intervention,SGLT2 inhibitors,4,SGLT2 inhibitors,0.0,no_match,,No suitable canonical mapping found
intervention,neomycin,4,neomycin,0.0,no_match,,No suitable canonical mapping found
intervention,physical activity,4,physical activity,0.0,no_match,,No suitable canonical mapping found
intervention,statins,4,statins,0.0,no_match,,No suitable canonical mapping found
intervention,Western medicine,3,Western medicine,0.0,no_match,,No suitable canonical mapping found
intervention,antidepressants,3,antidepressants,0.0,no_match,,No suitable canonical mapping found
intervention,aspirin,3,aspirin,0.0,no_match,,No suitable canonical mapping found
intervention,ciprofloxacin,3,ciprofloxacin,0.0,no_match,,No suitable canonical mapping found
