entity_type,original_term,frequency,suggested_canonical,confidence,method,canonical_id,notes
condition,irritable bowel syndrome (IBS),146,Irritable Bowel Syndrome,0.95,exact_normalized,817,Safe pattern/exact matching
condition,Irritable Bowel Syndrome (IBS),51,Irritable Bowel Syndrome,0.95,exact_normalized,817,Safe pattern/exact matching
condition,coronary artery disease,39,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,rheumatoid arthritis,28,Rheumatoid Arthritis,0.95,exact_normalized,803,Safe pattern/exact matching
condition,hypertension,27,hypertension,0.95,exact_normalized,583,Safe pattern/exact matching
condition,coronary artery disease (CAD),19,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diarrhea-predominant irritable bowel syndrome (IBS-D),19,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,knee osteoarthritis,18,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,type 2 diabetes,18,type 2 diabetes (T2DM),0.9,spacing_punctuation_normalization,623,Safe pattern/exact matching
condition,coronary heart disease,17,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,small intestinal bacterial overgrowth (SIBO),16,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,SIBO,13,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,heart failure,13,heart failure (HFmrEF or HFpEF),0.9,spacing_punctuation_normalization,639,Safe pattern/exact matching
condition,IBS-D,12,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,atrial fibrillation (AF),11,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cardiovascular disease,10,Cardiovascular Disease,0.95,exact_normalized,822,Safe pattern/exact matching
condition,depression,10,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,type 2 diabetes mellitus (T2DM),10,Type 2 Diabetes Mellitus,0.95,exact_normalized,806,Safe pattern/exact matching
condition,coronary heart disease (CHD),9,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,gout,9,Gout,0.95,exact_normalized,827,Safe pattern/exact matching
condition,atrial fibrillation,8,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,constipation-predominant irritable bowel syndrome (IBS-C),8,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,migraine,8,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,migraine headache,8,Migraine Headache,0.95,exact_normalized,820,Safe pattern/exact matching
condition,Irritable bowel syndrome,7,Irritable Bowel Syndrome,0.95,exact_normalized,817,Safe pattern/exact matching
condition,Arrhythmogenic right ventricular cardiomyopathy (ARVC),6,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,aortic stenosis (AS),6,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,constipation,6,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,inflammatory and infective diseases,6,inflammatory and infective diseases,0.95,exact_normalized,733,Safe pattern/exact matching
condition,irritable bowel syndrome - diarrhea (IBS-D),6,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,low anterior resection syndrome (LARS),6,low anterior resection syndrome (LARS),0.9,spacing_punctuation_normalization,720,Safe pattern/exact matching
condition,type 2 diabetes mellitus,6,Type 2 Diabetes Mellitus,0.95,exact_normalized,806,Safe pattern/exact matching
condition,Irritable Bowel Syndrome with Constipation (IBS-C),5,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,arrhythmogenic right ventricular cardiomyopathy (ARVC),5,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cardiovascular diseases,5,cardiovascular disease (CVD),0.95,safe_plural_addition,566,Safe pattern/exact matching
condition,irritable bowel syndrome with constipation (IBS-C),5,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,postpartum depression,5,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,ventricular tachycardia,5,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,Non-erosive reflux disease (NERD),4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,PASC,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,Post-acute Sequelae of SARS-CoV-2 infection (PASC),4,Post-acute Sequelae of SARS-CoV-2 infection,0.95,exact_normalized,807,Safe pattern/exact matching
condition,acute decompensated heart failure (ADHF),4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,bipolar disorder,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cardiac function,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cardiovascular diseases (CVDs),4,cardiovascular disease (CVD),0.95,safe_plural_addition,566,Safe pattern/exact matching
condition,constipation-predominant irritable bowel syndrome (IBS),4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cryptogenic strokes,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cryptogenic strokes due to Lambl's excrescences and cardiac papillary fibroelastoma,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diabetes,4,diabetes,0.95,exact_normalized,699,Safe pattern/exact matching
condition,early rheumatoid arthritis,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,functional constipation,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,gastro-esophageal reflux disease (GERD),4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,permanent atrial fibrillation,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,pulmonary arterial hypertension,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,small vessel coronary artery disease (SVCAD),4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,stage III colon cancer,4,stage III colon cancer,0.95,exact_normalized,800,Safe pattern/exact matching
condition,Alzheimer's disease and related dementias,3,Alzheimer's disease and related dementias,0.9,spacing_punctuation_normalization,548,Safe pattern/exact matching
condition,Irritable Bowel Syndrome,3,Irritable Bowel Syndrome,0.95,exact_normalized,817,Safe pattern/exact matching
condition,LBBB,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,ST-segment elevation myocardial infarction (STEMI) with multivessel disease (MVD),3,ST-segment elevation myocardial infarction with multivessel disease,0.95,exact_normalized,669,Safe pattern/exact matching
condition,adult native knee septic arthritis,3,adult native knee septic arthritis,0.95,exact_normalized,552,Safe pattern/exact matching
condition,ankylosing spondylitis,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,asymptomatic severe aortic stenosis,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,blood pressure,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cardiac conditions,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,carotid atherosclerosis,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,carotid atherosclerosis in patients with type 2 diabetes mellitus,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,chemotherapy-induced cardiotoxicity,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,chronic idiopathic constipation (CIC),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,chronic kidney disease,3,Chronic Kidney Disease,0.95,exact_normalized,831,Safe pattern/exact matching
condition,cigarette smoking,3,cigarette smoking,0.95,exact_normalized,564,Safe pattern/exact matching
condition,congenital heart disease,3,congenital heart disease,0.95,exact_normalized,712,Safe pattern/exact matching
condition,diabetic ketoacidosis,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diabetic kidney disease,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diabetic kidney disease (DKD),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diarrhea-predominant irritable bowel syndrome,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,early gestational diabetes mellitus (eGDM),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,fatigue,3,fatigue,0.95,exact_normalized,559,Safe pattern/exact matching
condition,food intolerance,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,hepatocellular carcinoma (HCC),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,high-risk patients undergoing complex PCI,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,high-risk patients undergoing complex percutaneous coronary intervention,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,hypercholesterolemia,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,hyperlipidemia,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,inflammatory bowel disease (IBD),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,left bundle branch block (LBBB),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,myocardial infarction,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,obesity,3,Obesity,0.95,exact_normalized,821,Safe pattern/exact matching
condition,obesity and mild GI symptoms,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,post-infectious irritable bowel syndrome (PI-IBS),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,postoperative atrial fibrillation (POAF),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
